Log(E/eV)	r [M]	Theta	Synchr	Brems ei
9.66667	19.0726	0	-19.7884	-24.6686
10.8889	19.0726	0	-18.5662	-24.5557
12.1111	19.0726	0	-17.344	-24.4661
13.3333	19.0726	0	-16.1218	-24.3919
14.5556	19.0726	0	-14.8995	-24.3285
15.7778	19.0726	0	-13.6773	-24.2732
17	19.0726	0	-12.4551	-24.2242
6	19.3256	0	-24.3686	-26.3175
7.22222	19.3256	0	-23.1464	-25.7455
8.44444	19.3256	0	-21.9242	-25.5069
9.66667	19.3256	0	-20.702	-25.3538
10.8889	19.3256	0	-19.4797	-25.2408
12.1111	19.3256	0	-18.2575	-25.1512
13.3333	19.3256	0	-17.0353	-25.077
14.5556	19.3256	0	-15.8131	-25.0137
15.7778	19.3256	0	-14.5909	-24.9584
