gamma	 omPrim	 omMin	 omMax	 probtot
31.6228	1.18794e-10	2.97133e-14	4.74937e-07	10.3032
31.6228	3.22201e-10	8.05905e-14	1.28816e-06	2.18344
31.6228	8.73897e-10	2.18584e-13	3.49384e-06	1.1621
31.6228	2.37025e-09	5.92858e-13	9.47624e-06	1.04142
31.6228	6.42875e-09	1.60799e-12	2.57021e-05	1.02868
31.6228	1.74365e-08	4.36131e-12	6.97111e-05	1.02757
31.6228	4.72926e-08	1.18291e-11	0.000189075	1.02748
31.6228	1.2827e-07	3.20837e-11	0.000512817	1.02747
31.6228	3.47905e-07	8.70197e-11	0.00139086	1.02747
31.6228	9.43612e-07	2.36021e-10	0.00377211	1.02746
31.6228	2.55933e-06	6.40153e-10	0.0102289	1.02746
31.6228	6.94161e-06	1.73627e-09	0.0277282	1.02745
31.6228	1.88275e-05	4.70924e-09	0.0750937	1.02742
31.6228	5.10654e-05	1.27727e-08	0.20285	1.02735
31.6228	0.000138503	3.4643e-08	0.544204	1.02727
31.6228	0.000375659	9.39606e-08	1.43377	1.02785
31.6228	0.00101889	2.54841e-07	3.60856	1.03513
31.6228	0.0027635	6.91161e-07	8.18727	1.09672
31.6228	0.00749538	1.87434e-06	15.3843	1.81339
31.6228	0.0203295	5.08165e-06	22.7613	0.898006
31.6228	0.0551392	1.37677e-05	27.6496	0.821972
31.6228	0.149552	3.72307e-05	30.0272	0.719584
31.6228	0.405627	0.000100172	31.0103	0.616245
31.6228	1.10017	0.000265926	31.7229	0.540988
